No.,Length,Source,Destination,TCP Src Port,TCP Dest Port,TCP Stream,Modbus Function Code,S7 Comm Parameter,Data,Timestamp
1,66,96.125.114.43 (HOST),96.125.114.59,49693,502,2,2: Read Discrete Inputs,N/A,"Layer MODBUS
:	.000 0010 = Function Code: Read Discrete Inputs (2)
	Reference Number: 0
	Bit Count: 2
",1715793694.076635000
2,66,96.125.114.43 (HOST),96.125.114.50,49692,502,3,3: Read Holding Registers,N/A,"Layer MODBUS
:	.000 0011 = Function Code: Read Holding Registers (3)
	Reference Number: 121
	Word Count: 1
",1715793694.079577000
3,97,96.125.114.43 (HOST),96.125.114.52,49691,102,4,N/A,Parameter: (Read Var),"Layer S7COMM
:	Header: (Job)
	Protocol Id: 0x32
	ROSCTR: Job (1)
	Redundancy Identification (Reserved): 0x0000
	Protocol Data Unit Reference: 156
	Parameter length: 26
	Data length: 0
	Parameter: (Read Var)
	Function: Read Var (0x04)
	Item count: 2
	Item [1]: (Q 0.0 BYTE 1)
	Variable specification: 0x12
	Length of following address specification: 10
	Syntax Id: S7ANY (0x10)
	Transport size: BYTE (2)
	Length: 1
	DB number: 0
	Area: Outputs (Q) (0x82)
	Address: 0x000000
	.... .000 0000 0000 0000 0... = Byte Address: 0
	.... .... .... .... .... .000 = Bit Address: 0
	Item [2]: (DB 4.DBX 0.0 BYTE 1)
	Variable specification: 0x12
	Length of following address specification: 10
	Syntax Id: S7ANY (0x10)
	Transport size: BYTE (2)
	Length: 1
	DB number: 4
	Area: Data blocks (DB) (0x84)
	Address: 0x000000
	.... .000 0000 0000 0000 0... = Byte Address: 0
	.... .... .... .... .... .000 = Bit Address: 0
",1715793694.098518000
4,64,96.125.114.59 (PLC),96.125.114.43,502,49693,2,2: Read Discrete Inputs,N/A,"Layer MODBUS
:	.000 0010 = Function Code: Read Discrete Inputs (2)
	Request Frame: 13
	Time from request: 0.420981000 seconds
	Byte Count: 1
	Bit 0 : 1
	Bit Number: 0
	.... ...1 = Bit Value: True
	Bit 1 : 0
	Bit Number: 1
	.... ...0 = Bit Value: False
",1715793694.497616000
5,65,96.125.114.50 (PLC),96.125.114.43,502,49692,3,3: Read Holding Registers,N/A,"Layer MODBUS
:	.000 0011 = Function Code: Read Holding Registers (3)
	Request Frame: 14
	Time from request: 0.418039000 seconds
	Byte Count: 2
	Register 121 (UINT16): 11565
	Register Number: 121
	Register Value (UINT16): 11565
",1715793694.497616000
6,86,96.125.114.52 (PLC),96.125.114.43,102,49691,4,N/A,Parameter: (Read Var),"Layer S7COMM
:	Header: (Ack_Data)
	Protocol Id: 0x32
	ROSCTR: Ack_Data (3)
	Redundancy Identification (Reserved): 0x0000
	Protocol Data Unit Reference: 156
	Parameter length: 2
	Data length: 11
	Error class: No error (0x00)
	Error code: 0x00
	Parameter: (Read Var)
	Function: Read Var (0x04)
	Item count: 2
	Data
	Item [1]: (Success)
	Return code: Success (0xff)
	Transport size: BYTE/WORD/DWORD (0x04)
	Length: 1
	Data: 15
	Fill byte: 0x00
	Item [2]: (Success)
	Return code: Success (0xff)
	Transport size: BYTE/WORD/DWORD (0x04)
	Length: 1
	Data: 11
",1715793694.497616000
7,66,96.125.114.43 (HOST),96.125.114.50,49692,502,3,1: Read Coils,N/A,"Layer MODBUS
:	.000 0001 = Function Code: Read Coils (1)
	Reference Number: 123
	Bit Count: 9
",1715793694.498146000
8,66,96.125.114.43 (HOST),96.125.114.59,49693,502,2,1: Read Coils,N/A,"Layer MODBUS
:	.000 0001 = Function Code: Read Coils (1)
	Reference Number: 8224
	Bit Count: 9
",1715793694.498146000
9,65,96.125.114.59 (PLC),96.125.114.43,502,49693,2,1: Read Coils,N/A,"Layer MODBUS
:	.000 0001 = Function Code: Read Coils (1)
	Request Frame: 165
	Time from request: 0.000831000 seconds
	Byte Count: 2
	Bit 8224 : 1
	Bit Number: 8224
	.... ...1 = Bit Value: True
	Bit 8225 : 0
	Bit 8226 : 0
	Bit 8227 : 1
	Bit 8228 : 1
	Bit 8229 : 1
	Bit 8230 : 0
	Bit 8231 : 0
	Bit 8232 : 0
	Bit Number: 8225
	Bit Number: 8226
	Bit Number: 8227
	Bit Number: 8228
	Bit Number: 8229
	Bit Number: 8230
	Bit Number: 8231
	Bit Number: 8232
	.... ...0 = Bit Value: False
	.... ...0 = Bit Value: False
	.... ...1 = Bit Value: True
	.... ...1 = Bit Value: True
	.... ...1 = Bit Value: True
	.... ...0 = Bit Value: False
	.... ...0 = Bit Value: False
	.... ...0 = Bit Value: False
",1715793694.498977000
10,65,96.125.114.50 (PLC),96.125.114.43,502,49692,3,1: Read Coils,N/A,"Layer MODBUS
:	.000 0001 = Function Code: Read Coils (1)
	Request Frame: 164
	Time from request: 0.000831000 seconds
	Byte Count: 2
	Bit 123 : 0
	Bit Number: 123
	.... ...0 = Bit Value: False
	Bit 124 : 0
	Bit 125 : 0
	Bit 126 : 1
	Bit 127 : 1
	Bit 128 : 1
	Bit 129 : 1
	Bit 130 : 0
	Bit 131 : 0
	Bit Number: 124
	Bit Number: 125
	Bit Number: 126
	Bit Number: 127
	Bit Number: 128
	Bit Number: 129
	Bit Number: 130
	Bit Number: 131
	.... ...0 = Bit Value: False
	.... ...0 = Bit Value: False
	.... ...1 = Bit Value: True
	.... ...1 = Bit Value: True
	.... ...1 = Bit Value: True
	.... ...1 = Bit Value: True
	.... ...0 = Bit Value: False
	.... ...0 = Bit Value: False
",1715793694.498977000
