Name,Size,Path
gwcmd.bat,2160,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\gwcmd.bat
hasp_windows_x64_78934.dll,792064,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\hasp_windows_x64_78934.dll
ignition.ico,99678,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\ignition.ico
IgnitionGateway.exe,772680,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\IgnitionGateway.exe
install-ignition.bat,6293,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\install-ignition.bat
install.log,206477,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\install.log
launch-homepage.bat,542,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\launch-homepage.bat
License.html,56855,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\License.html
Notice.txt,606278,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\Notice.txt
run-upgrader.bat,1957,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\run-upgrader.bat
start-ignition.bat,6175,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\start-ignition.bat
stop-ignition.bat,5687,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\stop-ignition.bat
uninstall-ignition.bat,5687,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\uninstall-ignition.bat
Uninstall.exe,377112,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\Uninstall.exe
wrapper-license.conf,497,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\wrapper-license.conf
install_20231127-1421.log,206477,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\install_20231127-1421.log
system_logs.idb,104710144,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\system_logs.idb
wrapper.log,1872754,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log
wrapper.log.1,10485791,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log.1
wrapper.log.2,10485861,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log.2
wrapper.log.3,10485871,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log.3
wrapper.log.4,10485890,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log.4
wrapper.log.5,10485877,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\logs\wrapper.log.5
install.manifest,57571,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.install\install.manifest
Uninstall.exe,377112,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\Uninstall.exe
release,309,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\release
api-ms-win-core-fibers-l1-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-fibers-l1-1-0.dll
api-ms-win-core-file-l1-1-0.dll,25032,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-file-l1-1-0.dll
api-ms-win-core-file-l1-2-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-file-l1-2-0.dll
api-ms-win-core-file-l2-1-0.dll,20936,E:\SCADA Forensics\IFACT\IFACT\./web/data/Ignition_Disk_Files\Program Files\Inductive Automation\Ignition\.uninstall\runtime\bin\api-ms-win-core-file-l2-1-0.dll
